,carbohydrates_100g,energy_100g,fiber_100g,proteins_100g,saturated-fat_100g,sodium_100g,sugars_100g
0,47.0,1996.0,3.5,5.3,7.9,0.110236220472441,34.0
1,40.0,1155.0,2.4,9.4,2.1,0.433070866141732,6.7
2,16.0,739.0,0.7,13.0,0.5,0.216535433070866,0.5
3,5.0,242.0,0.92,1.6,1.6,0.315,1.2
4,16.0,658.0,1.4,7.0,2.3,0.295275590551181,1.1
5,26.3,644.0,0.9,4.2,1.8,0.31496062992126,0.6
6,1.8,410.0,0.0,9.9,4.0,0.165354330708661,1.3
7,10.4,459.0,1.8,8.8,0.5,0.330708661417323,0.7
8,22.0,525.0,0.0,4.1,1.2,0.0669291338582677,15.0
9,3.5,679.0,0.7,9.8,5.2,0.216535433070866,1.4
10,7.6,1966.0,0.27,1.5,3.9,1.0,5.3
11,72.0,1657.0,5.5,12.0,0.5,0.45,3.0
12,6.5,318.0,1.3,4.0,1.9,0.295275590551181,1.9
13,13.0,652.0,1.1,9.5,4.2,0.259842519685039,3.0
14,23.0,917.0,2.9,10.0,3.7,0.590551181102362,2.4
15,13.3,531.0,1.6,8.3,1.5,0.275590551181102,2.0
16,10.3,432.0,2.0,8.5,0.4,0.200787401574803,1.7
17,2.1,773.0,0.8,10.0,7.8,0.307086614173228,2.0
18,10.0,526.0,3.0,7.9,1.7,0.354330708661417,3.6
19,18.0,761.0,1.1,8.2,2.0,0.307086614173228,1.4
20,15.8,517.0,4.2,7.0,1.1,0.4,2.4
21,5.0,280.0,4.2,1.8,0.5,0.393700787401575,5.0
22,57.0,2225.0,3.4,7.0,13.0,0.283464566929134,29.0
23,16.0,921.0,2.3,11.0,2.3,0.511811023622047,2.1
24,26.0,984.0,2.0,12.0,4.4,0.47244094488189,2.4
25,4.7,1136.0,0.0,11.2,9.1,0.771653543307087,2.0
26,80.3,1687.0,3.1,11.4,1.3,0.042,20.0
27,16.0,771.0,0.8,8.4,2.4,0.263779527559055,0.6
28,11.2,423.0,2.8,6.3,0.9,0.318897637795276,1.6
29,13.4,492.0,1.1,5.0,2.3,0.236220472440945,1.4
30,47.0,1907.0,4.2,7.1,6.3,0.188976377952756,39.0
31,15.0,720.0,1.6,7.9,4.2,0.28740157480315,1.2
32,70.2,1615.0,6.0,14.0,0.4,0.68503937007874,6.3
33,11.0,491.0,1.3,7.7,2.8,0.28740157480315,2.9
34,2.0,1107.0,1.2,12.5,9.0,0.708661417322835,2.0
35,14.0,517.0,2.2,10.0,0.8,0.244094488188976,1.0
36,15.3,761.0,2.2,7.7,2.9,0.374015748031496,1.9
37,4.5,422.0,1.4,7.5,2.5,0.3,0.8
38,49.1,1532.0,2.8,8.3,7.6,0.393700787401575,20.1
39,59.0,1898.0,2.0,6.0,2.0,0.307086614173228,29.0
40,22.0,955.0,2.3,13.3,2.7,0.55511811023622,3.7
41,1.2,251.0,2.2,8.4,0.3,0.169291338582677,1.2
42,11.0,544.0,1.6,6.4,3.7,0.354330708661417,3.0
43,21.4,1198.0,2.1,10.0,2.1,1.0,2.1
44,1.6,310.0,1.1,8.5,0.4,0.196850393700787,1.5
45,21.0,646.0,1.5,4.7,0.9,0.433070866141732,1.7
46,9.5,357.0,1.5,7.1,0.6,0.259842519685039,2.6
47,4.1,758.0,2.6,7.5,3.0,0.354330708661417,1.9
48,52.9,1473.0,2.2,7.6,3.8,0.492125984251968,12.1
49,57.0,2154.0,3.5,7.1,12.0,0.118110236220472,27.0
50,50.2,1658.0,2.9,7.7,8.2,0.409448818897638,20.8
51,3.5,360.0,0.5,9.4,2.5,0.358267716535433,1.4
52,11.0,440.0,1.5,5.5,2.0,0.41,1.5
53,61.0,2170.0,2.3,6.8,17.0,0.295275590551181,35.0
54,4.5,422.0,1.4,7.5,2.5,0.334645669291339,0.8
55,24.2,891.0,2.7,11.3,2.9,0.295275590551181,2.9
56,55.0,1477.0,1.5,7.2,7.5,0.303149606299213,12.0
57,55.0,1918.0,0.6,5.3,2.0,0.28,24.0
58,4.0,363.0,0.6,8.6,2.8,0.307086614173228,0.5
59,41.8,1025.0,6.3,8.1,1.1,0.47244094488189,6.1
60,14.1,526.0,1.0,7.0,1.4,0.285433070866142,1.4
61,82.7,1661.0,3.4,10.4,0.2,0.002,20.5
62,37.9,962.0,6.2,8.6,0.7,0.511811023622047,5.1
63,11.9,498.0,1.5,6.1,3.3,0.236220472440945,3.9
64,58.0,1922.0,5.8,11.0,5.7,0.0039370078740157,15.0
65,5.2,177.0,0.2,4.0,0.1,0.062992125984252,4.9
66,21.6,1010.0,1.2,13.3,5.7,0.519685039370079,4.0
67,35.5,1894.0,4.4,7.9,11.7,0.0393700787401575,21.3
68,12.7,414.0,1.6,5.7,1.5,0.271653543307087,1.4
69,25.2,1028.0,1.8,11.6,5.6,0.397637795275591,8.0
70,2.8,339.0,1.1,9.2,2.4,0.229527559055118,1.5
71,61.0,2109.0,3.5,7.0,16.0,0.267716535433071,34.0
72,7.3,304.0,1.6,6.1,0.5,0.393700787401575,2.3
73,19.6,1098.0,1.3,15.4,6.4,0.384251968503937,1.1
74,49.0,1407.0,2.1,8.4,3.9,0.295275590551181,18.5
75,18.5,840.0,0.8,11.4,0.7,0.25,0.8
76,2.9,383.0,1.6,10.0,2.7,0.255905511811024,1.6
77,42.0,1175.0,3.1,10.0,3.9,0.393700787401575,3.2
78,11.9,410.0,0.8,4.1,2.4,0.31496062992126,0.8
79,69.0,1585.0,7.5,12.0,0.5,0.551181102362205,4.0
80,13.0,398.0,1.0,4.7,1.5,0.283464566929134,0.5
81,70.0,1978.0,3.1,7.9,7.0,0.21259842519685,25.0
82,6.6,388.0,2.1,5.2,1.6,0.393700787401575,5.8
83,1.7,479.0,0.7,18.0,1.0,0.94488188976378,0.7
84,57.0,2049.0,4.5,7.0,13.0,0.118110236220472,30.0
85,7.1,657.0,1.0,14.5,0.8,0.339,1.3
86,41.0,947.0,2.6,10.0,0.2,0.346456692913386,6.5
87,33.0,883.0,6.8,12.0,0.3,0.362204724409449,6.0
88,17.0,1106.0,1.5,12.5,2.0,0.492125984251969,2.0
89,9.0,667.0,1.5,7.3,5.3,0.393700787401575,1.0
90,53.0,2194.0,3.0,11.5,4.7,0.708661417322835,7.5
91,2.3,1179.0,0.0,14.4,7.3,1.05511811023622,2.3
92,8.9,477.0,0.0,7.3,1.85,0.31496062992126,0.6
93,12.1,794.0,2.5,12.1,1.0,0.393700787401575,2.3
94,38.0,1088.0,2.5,8.4,2.9,0.551181102362205,2.0
95,42.0,1048.0,5.4,9.7,0.3,0.433070866141732,3.7
96,68.0,1850.0,3.1,6.8,2.1,0.153543307086614,28.0
97,55.0,1731.0,1.2,4.9,8.7,0.512,23.0
98,61.8,2088.0,6.1,6.4,6.3,0.221,21.7
99,29.5,1070.0,3.5,10.0,4.5,0.7,3.0
100,78.5,1965.0,1.4,5.5,1.5,0.0374015748031496,32.0
101,0.1,862.0,0.0,17.8,2.9,0.259842519685039,0.2
102,4.5,749.0,1.8,10.7,3.2,0.594488188976378,1.0
103,19.5,691.0,1.9,7.2,3.4,0.47244094488189,1.0
104,60.3,1751.0,1.7,5.2,11.4,0.236220472440945,35.4
105,19.8,515.0,0.5,2.9,2.1,0.08,13.4
106,17.0,882.0,1.2,10.9,6.8,0.433070866141732,0.8
107,6.2,349.0,2.4,4.3,1.2,0.47244094488189,5.4
