,carbohydrates_100g,energy_100g,fiber_100g,nutrition-score-fr_100g,proteins_100g,saturated-fat_100g,sodium_100g,sugars_100g
0,7.1,657.0,1.0,-2.0,14.5,0.8,0.339,1.3
1,11.6,505.0,1.3,1.0,6.6,2.4,0.31496062992126,2.0
2,6.2,523.0,0.9,-1.0,10.0,2.3,0.246062992125984,0.5
3,7.1,546.0,2.3,-2.0,7.8,2.0,0.271653543307087,1.8
4,5.3,238.0,1.6,-2.0,4.9,0.5,0.393700787401575,1.1
5,12.0,875.0,1.2,4.0,15.0,1.3,0.708661417322835,0.9
6,9.3,282.0,1.3,1.0,3.2,0.7,0.354330708661417,3.9
7,26.5,925.0,3.6,-1.0,9.0,1.0,0.673228346456693,4.0
8,47.0,1996.0,3.5,16.0,5.3,7.9,0.110236220472441,34.0
9,5.0,177.0,0.4,-1.0,4.0,0.1,0.0708661417322835,4.6
10,78.5,1965.0,1.4,12.0,5.5,1.5,0.0374015748031496,32.0
11,14.5,613.0,1.7,-2.0,9.0,2.0,0.31496062992126,2.5
12,11.6,583.0,1.7,3.0,4.1,4.7,0.189,1.5
13,55.0,1477.0,1.5,14.0,7.2,7.5,0.303149606299213,12.0
14,13.3,531.0,1.6,-2.0,8.3,1.5,0.275590551181102,2.0
15,10.3,432.0,2.0,-4.0,8.5,0.4,0.200787401574803,1.7
16,49.1,1532.0,2.8,16.0,8.3,7.6,0.393700787401575,20.1
17,57.0,2225.0,3.4,21.0,7.0,13.0,0.283464566929134,29.0
18,5.5,283.0,3.0,-1.0,1.0,0.2,0.275590551181102,4.0
19,1.5,980.0,0.8,2.0,14.0,3.5,0.307086614173228,0.0
20,4.5,422.0,1.4,0.0,7.5,2.5,0.334645669291339,0.8
21,57.0,2049.0,4.5,18.0,7.0,13.0,0.118110236220472,30.0
22,5.5,809.0,0.8,3.0,11.7,3.6,0.4,1.5
23,69.7,2087.0,1.9,22.0,5.6,15.1,0.127165354330709,34.2
24,70.0,1720.0,3.8,10.0,12.0,3.5,0.66,4.4
25,16.7,479.0,0.3,4.0,2.9,2.1,0.0433070866141732,13.5
26,1.3,410.0,0.5,3.0,21.5,0.2,0.669291338582677,1.2
27,18.3,1073.0,0.7,14.0,9.6,8.6,0.338582677165354,1.3
28,2.1,773.0,0.8,11.0,10.0,7.8,0.307086614173228,2.0
29,68.0,1839.0,5.0,15.0,9.5,7.5,0.444881889763779,22.0
30,28.3,1244.0,2.7,14.0,3.5,12.4,0.04,19.8
31,68.0,1850.0,3.1,10.0,6.8,2.1,0.153543307086614,28.0
32,7.6,1966.0,0.27,19.0,1.5,3.9,1.0,5.3
33,10.5,677.0,1.0,10.0,6.1,6.7,0.31496062992126,1.0
34,17.0,882.0,1.2,11.0,10.9,6.8,0.433070866141732,0.8
35,73.0,1900.0,5.0,10.0,8.0,4.0,0.354,20.0
36,9.7,412.0,1.5,0.0,5.1,1.5,0.303149606299213,3.8
37,72.0,1657.0,5.5,-2.0,12.0,0.5,0.45,3.0
38,3.0,102.0,0.2,0.0,0.5,0.1,0.0511811023622047,3.0
39,22.0,955.0,2.3,2.0,13.3,2.7,0.55511811023622,3.7
40,62.0,2130.0,2.5,22.0,7.5,14.0,0.208661417322835,34.0
41,6.5,318.0,1.3,1.0,4.0,1.9,0.295275590551181,1.9
42,13.0,652.0,1.1,1.0,9.5,4.2,0.259842519685039,3.0
43,51.0,2298.0,5.1,12.0,5.6,3.2,0.720472440944882,1.5
